trial,visual,audio,judgment,model_samples,model_path_length_cutoff,model_door_close_prob,model_softmax_temp,step_count_difference_threshold
snack10,True,False,100.0,1000,20,0.5,1,4
snack11,True,False,0.0,1000,20,0.5,1,4
snack12,True,False,50.0,1000,20,0.5,1,4
snack13,True,False,49.0,1000,20,0.5,1,4
snack1,True,False,48.0,1000,20,0.5,1,4
snack2,True,False,51.0,1000,20,0.5,1,4
snack3,True,False,49.0,1000,20,0.5,1,4
snack4,True,False,100.0,1000,20,0.5,1,4
snack5,True,False,0.0,1000,20,0.5,1,4
snack6,True,False,88.0,1000,20,0.5,1,4
snack7,True,False,19.0,1000,20,0.5,1,4
snack8,True,False,100.0,1000,20,0.5,1,4
snack9,True,False,23.0,1000,20,0.5,1,4
tv1,True,False,100.0,1000,20,0.5,1,4
tv2,True,False,97.0,1000,20,0.5,1,4
tv3,True,False,50.0,1000,20,0.5,1,4
tv4,True,False,100.0,1000,20,0.5,1,4
tv5,True,False,49.0,1000,20,0.5,1,4
tv6,True,False,50.0,1000,20,0.5,1,4
tv7,True,False,0.0,1000,20,0.5,1,4
